PIs,POs,AND_Gates_Before,Levels_Before,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,ND,Edge,Area,Delay,Levels_After,Power
24,25,5416,225,resyn2a,drwsat2,refactor,balance,resub -z,compress2,resyn2a,compress,resyn,resub -z,dc2,resyn2,dc2,rewrite -z,resub,choice2,strash,resyn,resyn3,refactor -z,3310,8669,3310.0,76.0,76,3202.2
135,125,613,8,drwsat2,refactor -z,drw,resub,drf,drw,compress,resub -z,resyn3,refactor -z,refactor -z,resub -z,refactor -z,resyn,drw,refactor -z,balance,resyn2a,rewrite -z,rewrite,344,872,344.0,5.0,5,469.55
177,128,1169,14,compress2,choice2,strash,resyn,compress,rewrite -z,compress,compress,resyn2a,resub -z,refactor -z,dc2,refactor -z,refactor -z,refactor -z,rewrite,resub -z,resyn,drw,share,548,1460,548.0,7.0,7,627.07
135,125,613,8,drf,rewrite -z,resyn2,resyn,drw,balance,balance,rewrite -z,dc2,resub -z,choice,strash,resyn,refactor -z,resub,resyn3,drf,refactor -z,rewrite -z,resyn,344,867,344.0,4.0,4,467.3
512,130,2865,287,rwsat,rewrite -z,resub,compress2,refactor,balance,choice,strash,drwsat2,share,drf,compress,share,choice2,strash,choice,strash,resub -z,rewrite -z,share,2039,4614,2039.0,116.0,116,2344.23
512,130,2865,287,compress2,resub -z,balance,drwsat2,resyn,dc2,choice2,strash,resyn3,rewrite -z,choice2,strash,rwsat,rwsat,drf,resub,share,dc2,dc2,compress,1966,4350,1966.0,113.0,113,2226.68
512,130,2865,287,resyn,rewrite,rewrite -z,drf,resyn2a,resyn2a,drwsat2,resyn3,drw,choice2,strash,share,choice,strash,resyn,resyn2a,choice,strash,drf,drwsat2,2078,4588,2078.0,112.0,112,2343.96
26,11,1592,31,balance,dc2,choice2,strash,share,choice2,strash,drwsat2,rewrite -z,choice2,strash,drf,choice,strash,refactor -z,choice2,strash,compress,compress2,drf,540,1488,540.0,10.0,10,666.93
32,32,2337,120,rewrite -z,resyn2,rewrite,resyn2,rewrite -z,resyn3,balance,refactor,rwsat,refactor,resyn3,resub -z,rwsat,drwsat2,resyn3,dc2,resyn,rewrite,compress,resyn2a,1475,3076,1475.0,45.0,45,1461.93
26,11,1592,31,resub,resub -z,resub -z,compress,compress,compress,refactor -z,compress,choice,strash,balance,drw,resyn2,drf,resub,compress,rewrite,rewrite,rewrite,rwsat,554,1538,554.0,10.0,10,712.24
207,107,2198,30,choice2,strash,choice,strash,resub,rwsat,rwsat,resyn3,refactor -z,balance,rewrite -z,resyn,rewrite,compress,rwsat,refactor -z,rwsat,drwsat2,share,compress,796,1782,796.0,25.0,25,921.78
32,32,2337,120,compress,choice2,strash,choice2,strash,resyn3,dc2,resub -z,refactor -z,compress,compress2,resyn,drf,balance,balance,drw,rwsat,drf,resyn3,compress2,1490,3093,1490.0,45.0,45,1474.52
26,11,1592,31,share,resyn3,resub -z,resyn2a,resyn,drf,rewrite,choice,strash,drw,resub,resyn2,refactor,choice2,strash,resub -z,resyn,drwsat2,drwsat2,compress2,591,1678,591.0,10.0,10,717.76
207,107,2198,30,resyn2,refactor,drwsat2,drf,drwsat2,resub -z,drw,drwsat2,rewrite,resub -z,dc2,rewrite -z,compress2,rewrite -z,drwsat2,resub,rewrite -z,resyn3,resyn2a,compress,845,1882,845.0,23.0,23,966.44
177,128,1169,14,compress2,drwsat2,resub -z,resyn2a,balance,balance,rewrite -z,share,resyn3,resyn2a,dc2,resyn,resyn3,resub -z,resub -z,share,dc2,balance,balance,drw,534,1454,534.0,8.0,8,618.45
26,11,1592,31,compress2,rewrite -z,balance,balance,resyn2a,resyn2a,resub,refactor -z,resyn2,compress2,choice,strash,compress,resyn2a,choice,strash,compress,resyn3,resub,resub -z,570,1582,570.0,10.0,10,733.54
135,125,613,8,share,dc2,drw,dc2,drf,drw,drw,share,drwsat2,dc2,drw,resyn,resyn2,compress2,resub,resyn,resyn3,choice,strash,rewrite -z,338,869,338.0,4.0,4,448.56
177,128,1169,14,drwsat2,balance,rewrite -z,rewrite -z,choice,strash,choice2,strash,resyn3,balance,drw,balance,choice,strash,choice,strash,rewrite -z,resub,refactor -z,resub -z,575,1471,575.0,8.0,8,651.85
26,11,1592,31,rewrite,refactor,drw,rewrite,resyn2,resub,balance,dc2,compress2,refactor -z,drw,drf,drf,drwsat2,refactor,rewrite -z,resyn2,choice,strash,resyn3,526,1441,526.0,9.0,9,658.03
24,25,5416,225,rewrite -z,drwsat2,resyn,compress,compress,resub,share,resyn3,resub -z,compress2,refactor -z,rewrite -z,drf,refactor -z,rewrite,resub,refactor,balance,drw,resub -z,3480,9443,3480.0,78.0,78,3547.31
512,130,2865,287,rwsat,drf,dc2,rwsat,compress2,rewrite -z,balance,rewrite,resyn,resub -z,resub -z,rewrite,compress2,resyn,compress,drw,refactor -z,drwsat2,resub,resub -z,1843,4355,1843.0,79.0,79,2224.37
177,128,1169,14,choice,strash,share,drwsat2,balance,choice2,strash,resyn2a,resyn2a,refactor,drf,resyn3,rwsat,resub -z,rwsat,rewrite,compress,compress2,resub,drw,536,1444,536.0,8.0,8,613.77
32,32,2337,120,resyn,share,resyn3,drwsat2,resub -z,resyn,resub -z,refactor,refactor -z,drw,resyn,resub -z,refactor -z,rewrite -z,resyn3,drf,resub,choice,strash,rewrite,2142,4941,2142.0,50.0,50,2273.52
207,107,2198,30,resyn2a,drw,refactor -z,drw,rewrite,drw,share,rewrite -z,choice2,strash,refactor,share,share,refactor -z,rwsat,resub,resyn3,resyn2,drw,drw,827,1840,827.0,18.0,18,940.34
32,32,2337,120,resub,compress2,rewrite -z,resyn2a,drwsat2,refactor,resyn,resub,rewrite,resyn2,resyn3,choice2,strash,share,compress,resyn,compress2,balance,choice2,strash,1922,4358,1922.0,49.0,49,2050.37
512,130,2865,287,refactor,compress2,rewrite -z,dc2,dc2,rewrite -z,resyn3,rewrite -z,rewrite,resyn3,dc2,balance,resub,resyn,compress,dc2,resub,resyn,drwsat2,rwsat,2013,4577,2013.0,85.0,85,2326.17
512,130,2865,287,refactor,drw,drf,refactor -z,resyn2,resub,resyn2a,balance,rwsat,dc2,share,compress2,rewrite -z,choice,strash,resyn2,choice,strash,resub,share,2040,4604,2040.0,87.0,87,2333.83
207,107,2198,30,resub,balance,compress,dc2,resyn3,drw,compress,resub -z,resub -z,resyn,refactor -z,drf,dc2,compress2,choice2,strash,balance,rewrite,rwsat,resub -z,818,1847,818.0,23.0,23,949.09
207,107,2198,30,resub -z,compress,refactor -z,resyn,resyn2a,compress2,share,drw,rewrite,drf,resub -z,drf,refactor,resub -z,rewrite,drf,resub,drf,refactor -z,resyn3,808,1794,808.0,24.0,24,927.26
135,125,613,8,rwsat,compress2,drwsat2,balance,choice,strash,compress,compress,resyn2,rewrite -z,resyn3,resyn,choice2,strash,balance,dc2,choice2,strash,rwsat,rewrite -z,323,835,323.0,5.0,5,450.35
512,130,2865,287,rewrite,compress,resub,drw,compress,resub,share,resyn2,refactor -z,drw,resyn2,drw,resyn2,dc2,rewrite -z,share,resyn3,compress,resyn2a,resyn3,1925,4327,1925.0,140.0,140,2209.54
45,45,1577,14,resyn,rwsat,compress2,resyn,choice2,strash,refactor -z,compress2,drw,rewrite,drw,compress2,resyn,choice,strash,refactor -z,drw,drwsat2,resyn,drwsat2,713,2164,713.0,8.0,8,577.29
135,125,613,8,dc2,drwsat2,resub -z,resyn2,balance,choice2,strash,choice2,strash,rwsat,compress2,choice,strash,resyn2,dc2,resyn2,refactor,rewrite -z,rwsat,drwsat2,344,861,344.0,5.0,5,463.12
512,130,2865,287,drwsat2,rewrite,resyn2,compress,resub -z,compress2,rwsat,refactor,resub,choice,strash,drf,refactor -z,dc2,resub,resyn3,resyn2a,compress2,resyn3,refactor -z,1924,4425,1924.0,92.0,92,2255.58
207,107,2198,30,refactor -z,drw,compress,refactor -z,choice2,strash,resyn3,resub,dc2,share,dc2,resyn3,drw,drw,rewrite,resub,resyn3,resyn2,resyn,resyn3,830,1857,830.0,19.0,19,954.4
512,130,2865,287,resub,resyn,compress,resub,resub,choice,strash,compress,rewrite -z,drf,resyn,refactor -z,resyn,share,drf,refactor,resub -z,rwsat,resub -z,resyn2a,2079,4581,2079.0,110.0,110,2339.41
164,132,930,11,rewrite -z,refactor,choice,strash,resyn2a,compress2,compress,balance,rewrite,resyn2,drwsat2,resyn2,balance,resyn2a,drw,resyn3,resyn2a,rewrite -z,resyn,rwsat,489,1242,489.0,6.0,6,608.04
24,25,5416,225,drf,rewrite -z,resyn2,compress2,drw,dc2,resyn2,compress,balance,refactor,balance,rwsat,refactor -z,refactor -z,drf,choice2,strash,refactor -z,drf,refactor,3283,8575,3283.0,79.0,79,3146.35
24,25,5416,225,rewrite -z,share,resyn2a,rewrite -z,rewrite,resyn2,resyn,compress2,drw,dc2,rewrite,resyn,balance,drwsat2,resyn,rewrite,resyn2,choice,strash,compress2,3445,9013,3445.0,79.0,79,3350.68
164,132,930,11,choice,strash,choice2,strash,drw,resub,resub -z,drwsat2,compress,drf,choice2,strash,balance,choice2,strash,drw,drwsat2,drwsat2,compress,compress2,466,1202,466.0,6.0,6,588.16
45,45,1577,14,choice2,strash,choice,strash,resyn3,refactor -z,resyn3,drw,dc2,resub -z,choice2,strash,rwsat,compress2,dc2,compress,drf,refactor -z,rewrite,refactor,694,2081,694.0,8.0,8,525.28
45,45,1577,14,share,drwsat2,resyn3,refactor -z,refactor,resyn,compress,drw,rwsat,dc2,choice,strash,compress2,rewrite -z,resub,resub -z,resub -z,dc2,resyn2a,refactor,663,1953,663.0,8.0,8,533.49
177,128,1169,14,resyn3,choice2,strash,choice2,strash,rewrite -z,choice2,strash,compress,share,share,drwsat2,resub,rewrite -z,balance,choice,strash,resyn3,rewrite,share,534,1475,534.0,7.0,7,628.87
45,45,1577,14,resyn3,choice,strash,resub,refactor -z,resub -z,resub,rewrite,resyn2a,rewrite -z,drf,choice,strash,resub,compress2,dc2,resyn2a,drw,rewrite -z,resyn2a,764,2355,764.0,7.0,7,653.16
135,125,613,8,resub -z,rewrite,compress2,drwsat2,resyn2,rewrite -z,choice,strash,choice2,strash,resub,rewrite,choice,strash,rewrite -z,compress,drw,refactor -z,refactor -z,resyn3,272,731,272.0,4.0,4,401.72
45,45,1577,14,resyn3,choice,strash,rewrite -z,resyn2,drf,resyn,resub -z,drw,compress,rewrite,resub,refactor,compress2,resyn,resyn2a,resub,choice2,strash,resub -z,744,2307,744.0,7.0,7,632.3
135,125,613,8,resyn2,balance,refactor,resub,choice,strash,drwsat2,resyn2a,compress,drf,share,resyn2a,rwsat,choice,strash,share,drw,choice,strash,resub,324,853,324.0,5.0,5,443.14
135,125,613,8,resyn,resyn,drf,dc2,rewrite,resyn2,resyn2a,resyn3,rwsat,resyn2a,refactor,rwsat,refactor -z,resyn2,dc2,choice,strash,share,drwsat2,balance,350,860,350.0,4.0,4,445.76
207,107,2198,30,rewrite -z,compress,rwsat,balance,drw,resyn3,balance,rewrite -z,resub -z,choice,strash,resyn,dc2,rewrite,balance,resub,choice2,strash,resub,refactor,841,1891,841.0,20.0,20,962.29
164,132,930,11,drwsat2,drw,resyn2a,choice2,strash,balance,resub,drw,resub,share,resyn2a,dc2,rewrite -z,rwsat,refactor,compress2,resyn2,compress,resyn2,resyn2,432,1153,432.0,7.0,7,523.67
32,32,2337,120,rewrite,compress,rewrite,choice2,strash,drf,refactor -z,balance,rewrite,resyn2,refactor -z,resub -z,drwsat2,compress2,compress,resub -z,refactor,resub -z,dc2,balance,1488,3092,1488.0,45.0,45,1473.04
512,130,2865,287,choice2,strash,rewrite,dc2,refactor -z,share,rewrite,share,drw,compress2,rewrite -z,compress2,resub,compress,dc2,drwsat2,refactor -z,resyn2a,dc2,resyn2,1932,4375,1932.0,117.0,117,2234.66
26,11,1592,31,choice2,strash,refactor,share,resub,rwsat,drf,drwsat2,choice2,strash,choice,strash,resub,choice,strash,rewrite -z,dc2,share,resub,rwsat,531,1488,531.0,9.0,9,624.95
164,132,930,11,refactor,balance,resyn,refactor,resub,choice,strash,resub -z,refactor,refactor -z,resyn3,choice2,strash,drf,dc2,compress,compress2,rwsat,refactor -z,rwsat,430,1126,430.0,6.0,6,552.31
45,45,1577,14,resyn2a,resyn,drw,drw,resyn2a,choice2,strash,balance,resyn,resub -z,refactor,choice,strash,resub -z,refactor -z,resub -z,refactor -z,drw,balance,drwsat2,770,2376,770.0,7.0,7,650.93
207,107,2198,30,drwsat2,compress,balance,resyn2,resyn3,resyn3,compress,resub,refactor,rewrite -z,resyn3,resyn,drwsat2,resub -z,resub -z,drwsat2,resyn3,resyn2,resyn2a,resub,844,1897,844.0,20.0,20,970.0
24,25,5416,225,resyn2,refactor -z,drf,resub,share,refactor -z,compress2,rwsat,resyn2a,resyn3,resyn3,resyn2a,refactor -z,refactor -z,resyn2,refactor -z,resyn2a,resyn2,resub,resyn3,3531,9483,3531.0,78.0,78,3570.74
164,132,930,11,resyn3,compress2,compress,balance,choice2,strash,share,drf,choice2,strash,resub -z,resyn,compress,refactor -z,dc2,drwsat2,choice2,strash,drwsat2,drw,435,1167,435.0,7.0,7,542.2
32,32,2337,120,rewrite -z,rwsat,resub -z,compress2,drw,dc2,refactor,resyn,balance,drf,drf,compress,rwsat,choice,strash,refactor -z,rewrite -z,resub -z,drwsat2,resyn,1475,3079,1475.0,45.0,45,1463.9
177,128,1169,14,refactor,drw,resyn,choice,strash,resub -z,rewrite,rewrite,resyn,compress2,resyn,refactor -z,resub,resub,resyn3,drf,resyn2,resyn2a,resub -z,rewrite -z,596,1577,596.0,9.0,9,695.06
207,107,2198,30,drwsat2,refactor -z,choice2,strash,drw,rewrite -z,share,drwsat2,choice,strash,resyn2a,refactor -z,compress,resyn,refactor -z,refactor -z,balance,drw,compress,resyn3,815,1828,815.0,24.0,24,941.96
164,132,930,11,drwsat2,compress2,resyn,share,rwsat,drf,rewrite,resyn,balance,balance,resub -z,rewrite,drf,drwsat2,compress2,resub,choice2,strash,drw,balance,433,1143,433.0,6.0,6,518.32
207,107,2198,30,drf,refactor -z,rwsat,compress,resub,resyn2,drwsat2,resyn2a,dc2,drf,resub -z,resyn3,compress2,choice2,strash,choice2,strash,balance,rwsat,compress2,837,1895,837.0,19.0,19,969.49
135,125,613,8,rwsat,refactor -z,choice2,strash,resub,rewrite,resyn,rewrite,rwsat,resyn2a,compress2,drw,choice,strash,drwsat2,rewrite,resyn3,refactor -z,share,resub -z,351,898,351.0,5.0,5,464.45
177,128,1169,14,refactor,rwsat,refactor -z,compress,dc2,resyn2,rewrite,refactor -z,resyn2a,resyn3,resub -z,rwsat,compress2,choice2,strash,dc2,rwsat,rewrite,rewrite,resyn2,578,1508,578.0,8.0,8,661.39
45,45,1577,14,rewrite -z,share,rwsat,dc2,choice2,strash,drw,balance,compress,compress,resub,balance,resyn,refactor,rwsat,share,resyn,rewrite,drw,resyn2,650,1921,650.0,8.0,8,518.72
24,25,5416,225,resyn2,resyn2,resyn3,refactor -z,resyn,balance,rwsat,rewrite -z,compress,resub,dc2,choice,strash,rwsat,drf,rewrite -z,balance,balance,balance,resyn2a,3470,9172,3470.0,76.0,76,3404.66
45,45,1577,14,drwsat2,rewrite -z,choice2,strash,resyn2,choice,strash,compress2,resub -z,resyn2,choice,strash,rwsat,resyn3,drw,compress,refactor,drw,choice2,strash,727,2184,727.0,8.0,8,587.4
45,45,1577,14,resyn,compress2,compress2,balance,rewrite -z,rwsat,balance,rewrite,refactor,balance,rewrite,refactor -z,refactor -z,drwsat2,choice2,strash,rewrite,refactor -z,compress2,resyn3,733,2167,733.0,8.0,8,580.72
32,32,2337,120,refactor,drwsat2,choice,strash,share,resyn2,drw,dc2,share,rwsat,resyn2,compress,share,rewrite -z,compress2,resub -z,drf,refactor -z,dc2,compress2,2212,5185,2212.0,50.0,50,2403.96
207,107,2198,30,dc2,resyn3,choice2,strash,drf,choice,strash,choice,strash,rwsat,resyn2,resub -z,resub,resub,rwsat,resub -z,drw,compress,refactor -z,compress,836,1878,836.0,23.0,23,959.79
45,45,1577,14,resyn3,resyn,rewrite,choice2,strash,rwsat,share,drwsat2,resyn3,share,resub,refactor -z,resyn2a,choice,strash,share,resyn2,resyn,rewrite -z,rwsat,658,1929,658.0,8.0,8,527.78
135,125,613,8,resyn2a,drf,rwsat,resyn,share,resyn,choice2,strash,rwsat,balance,compress,resub -z,choice2,strash,resyn,drw,rewrite,balance,resyn2,drw,329,851,329.0,5.0,5,441.58
24,25,5416,225,choice,strash,share,resyn2a,resub,resub -z,choice2,strash,rewrite -z,share,rwsat,choice,strash,resyn3,rewrite -z,compress,drw,refactor -z,drf,resyn,3403,9175,3403.0,78.0,78,3428.58
